Peptide_Family,Species
,Aeromonas caviae
,Aeromonas caviae
,Aeromonas caviae
,Aeromonas caviae
,Aeromonas veronii
,Aeromonas veronii
,Aeromonas veronii
,Aeromonas veronii
,Aeromonas veronii
,Aeromonas veronii
Dermaseptin,
Dermaseptin,
Dermaseptin,
Dermaseptin,
Dermaseptin,
Dermaseptin,
Dermaseptin,Agalychnis callidryas
Dermaseptin,Agalychnis callidryas
Dermaseptin,Agalychnis callidryas
Plasticin,
Plasticin,
,Agalychnis callidryas
,Agalychnis callidryas
,
,
Dermaseptin,
,
Dermaseptin,Agalychnis callidryas
Dermaseptin,
Dermaseptin,
Dermaseptin,
Dermaseptin,
Dermaseptin,
,Agalychnis dacnicolor
Dermaseptin,
,
Dermaseptin,
Phylloseptin,
Dermaseptin,Insulinotropic peptide
Dermaseptin,
Dermaseptin,
Dermaseptin,
Dermaseptin,
Phylloseptin,
,
,Alytes maurus
,
,
,
,
,
,
,
Amolopin,Amolops chunganensis
Brevinin,Amolops chunganensis
Brevinin,Amolops chunganensis
Brevinin,Amolops chunganensis
Brevinin,Amolops chunganensis
Brevinin,Amolops chunganensis
Temporin,Amolops chunganensis
Temporin,Amolops chunganensis
Temporin,Amolops chunganensis
Temporin,Amolops chunganensis
Temporin,Amolops chunganensis
Brevinin,Amolops chunganensis
,Amolops chunganensis
Esculentin,Amolops chunganensis
Palustrin,Amolops chunganensis
Temporin,Amolops chunganensis
Brevinin,
Brevinin,
Brevinin,
Brevinin,
Brevinin,
Brevinin,
Esculentin,
Palustrin,
Temporin,
Temporin,
Temporin,
,Amolops daiyunensis
Brevinin,Amolops daiyunensis
Brevinin,Amolops daiyunensis
Brevinin,Amolops daiyunensis
,Amolops daiyunensis
,Amolops daiyunensis
,Amolops daiyunensis
Palustrin,Amolops daiyunensis
Temporin,Amolops daiyunensis
Palustrin,Amolops daiyunensis
,Amolops granulosus
,Amolops granulosus
,Amolops granulosus
,Amolops granulosus
Brevinin,Amolops granulosus
Brevinin,Amolops granulosus
,Amolops granulosus
Amolopin,Amolops granulosus
Amolopin,Amolops granulosus
Palustrin,Amolops granulosus
Palustrin,Amolops granulosus
Palustrin,Amolops granulosus
Temporin,Amolops granulosus
Temporin,Amolops granulosus
Temporin,Amolops granulosus
Temporin,Amolops granulosus
Temporin,Amolops granulosus
Brevinin,Amolops granulosus
Amolopin,Amolops granulosus
Amolopin,Amolops granulosus
Palustrin,Amolops granulosus
Brevinin,Amolops hainanensis
Brevinin,Amolops hainanensis
Brevinin,Amolops hainanensis
,Amolops hainanensis
,Amolops hainanensis
