Species Family,Amolopin,Brevinin,Dermaseptin,Esculentin,Gaegurin,Nigrocin,Odorranain,Palustrin,Phylloseptin,Ranatuerin,Rugosin,Temporin
AGALYCHNIS,0,0,4,0,0,0,0,0,0,0,0,0
AMOLOPS,43,61,0,17,0,0,1,8,0,1,0,34
AQUARANA,0,0,0,0,0,0,0,2,0,16,0,1
ATYPICAL,0,0,1,0,0,0,0,0,0,0,0,0
BABINA,0,1,0,0,0,0,0,0,0,0,0,1
CALLIMEDUSA,0,0,0,0,0,0,0,0,2,0,0,0
GLANDIRANA,0,6,0,1,3,0,0,0,0,1,0,0
HOST,0,0,0,0,0,0,0,1,0,0,0,0
HYLARANA,0,20,0,5,34,1,0,2,0,0,47,13
INDOSYLVIRANA,0,3,0,0,0,0,0,0,0,0,0,0
LITHOBATES,0,5,0,9,0,1,3,0,0,4,0,3
NIDIRANA,0,2,0,0,0,0,0,0,0,2,0,0
ODORRANA,0,171,0,73,1,20,463,19,0,15,0,2
PELOPHYLAX,0,19,0,8,0,2,0,1,0,0,0,13
PHYLLOMEDUSA,0,0,8,0,0,0,0,0,9,0,0,0
PITHECOPUS,0,0,4,0,0,0,0,0,1,0,0,0
PSEUDACRIS,0,0,0,0,0,0,1,0,0,3,0,2
RANA,0,45,0,2,0,0,1,7,0,15,0,31
SYLVIRANA,0,21,0,5,0,0,2,0,0,1,0,10
